chunk_id,job_category,experience_level,project_description,rate_median,rate_mean,rate_min,rate_max,sample_count
0,App Development,Beginner,We are looking for a beginner app developer to create a simple fitness tracking app for iOS with a user-friendly interface and basic data analytics.,39.365,42.69725,6.07,96.72,80
1,App Development,Beginner,"I need a mobile app built for a small business that allows customers to order food and track their delivery, with a focus on a smooth user experience.",39.365,42.69725,6.07,96.72,80
2,App Development,Beginner,"Create a beginner-friendly meditation app for Android with guided sessions and a mood-tracking feature, using a predefined design template.",39.365,42.69725,6.07,96.72,80
3,App Development,Beginner,"Develop a small-scale social media app for a university project, allowing users to share posts and connect with friends, with a basic chat functionality.",39.365,42.69725,6.07,96.72,80
4,App Development,Beginner,"Design and develop a simple mobile game for kids, with colorful graphics and basic levels, using a popular game development engine.",39.365,42.69725,6.07,96.72,80
5,App Development,Beginner,"Build a basic event management app for a local conference, allowing attendees to view schedules, maps, and speaker profiles, with a simple notification system.",39.365,42.69725,6.07,96.72,80
6,App Development,Beginner,"Create a mobile app for a personal finance tracker, allowing users to log expenses and set budget goals, with a basic data visualization component.",39.365,42.69725,6.07,96.72,80
7,App Development,Beginner,"Develop a small e-learning app for a language course, with interactive lessons and quizzes, using a pre-existing content library.",39.365,42.69725,6.07,96.72,80
8,App Development,Beginner,"Design and develop a simple music streaming app for a small record label, allowing users to browse and play music, with a basic search functionality.",39.365,42.69725,6.07,96.72,80
9,App Development,Beginner,"Build a basic task management app for a team, allowing users to create and assign tasks, set deadlines, and track progress, with a simple reporting feature.",39.365,42.69725,6.07,96.72,80
10,App Development,Expert,"We are seeking an expert app developer to design and implement a cross-platform mobile app for a fitness tracking service, with a focus on seamless integration with wearable devices and social media platforms.",48.42,53.2301282051282,5.91,98.92,78
11,App Development,Expert,"Develop a scalable and secure backend API for a social media app using Node.js and MongoDB, with a requirement for high performance and minimal latency.",48.42,53.2301282051282,5.91,98.92,78
12,App Development,Expert,"Create a comprehensive e-learning app for children, featuring interactive lessons, quizzes, and games, with a requirement for both iOS and Android compatibility.",48.42,53.2301282051282,5.91,98.92,78
13,App Development,Expert,"Design and develop a custom augmented reality experience for a retail client, utilizing ARKit and ARCore for immersive product demonstrations and virtual try-on capabilities.",48.42,53.2301282051282,5.91,98.92,78
14,App Development,Expert,"Build a high-performance, data-driven app for tracking personal finance and expenses, with a requirement for integration with popular banking APIs and machine learning-based budgeting insights.",48.42,53.2301282051282,5.91,98.92,78
15,App Development,Expert,"Develop a suite of productivity apps for a enterprise client, including a task manager, calendar, and note-taking tool, with a focus on integration with existing company software and security protocols.",48.42,53.2301282051282,5.91,98.92,78
16,App Development,Expert,"Create a real-time messaging app with end-to-end encryption, featuring group chat, file sharing, and video conferencing capabilities, with a requirement for both web and mobile platforms.",48.42,53.2301282051282,5.91,98.92,78
17,App Development,Expert,"Design and develop a custom mobile app for a healthcare provider, featuring appointment scheduling, medical record access, and telemedicine capabilities, with a focus on HIPAA compliance and data security.",48.42,53.2301282051282,5.91,98.92,78
